"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"ART_1A_BS",45,5.9252152687208,3.60660472169807,"Ransome_ART01_ART01A_120312_150524",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART01_ART01A_120312_150524",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_1B_BS",48,9.25933787862517,5.88366047101448,"Ransome_ART01_ART01B_120312_150524",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART01_ART01B_120312_150524",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2A_BS",54,4.36818816040214,2.71362322839938,"Ransome_ART02_ART02A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2B_BS",67,4.41555612267365,2.31100037226973,"Ransome_ART02_ART02B_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02B_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2C_BS",51,5.87727081791895,2.80063240015678,"Ransome_ART02_ART02C_120312_150501",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02C_120312_150501",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"BAA_1A_BS",118,12.5978127499366,6.29352850131239,"Ransome_BAA01_BAA01A_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01A_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_1B_BS",68,9.40215948343055,5.54098519561803,"Ransome_BAA01_BAA01B_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01B_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_1C_BS",64,8.44848577392706,4.60726074772426,"Ransome_BAA01_BAA01C_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01C_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2A_BS",56,7.61627083005554,4.80950601117694,"Ransome_BAA02_BAA02A_120312_150526",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02A_120312_150526",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2B_BS",68,10.0947600773206,6.68068855411093,"Ransome_BAA02_BAA02B_120312_150531",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02B_120312_150531",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
