"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"ART_1A_BS",142,19.7235431460077,8.63453365342927,"Ransome_ART01_ART01A_120312_150524",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART01_ART01A_120312_150524",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_1B_BS",139,19.9462247290639,9.42843877513988,"Ransome_ART01_ART01B_120312_150524",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART01_ART01B_120312_150524",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2A_BS",118,7.21386200638242,3.12021584830066,"Ransome_ART02_ART02A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2B_BS",90,6.78441445205675,2.90466743689874,"Ransome_ART02_ART02B_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02B_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"ART_2C_BS",129,7.65031826967413,4.49503480443862,"Ransome_ART02_ART02C_120312_150501",0.17114094,130,120.2416854,12.75000453,1,"Ransome_ART02_ART02C_120312_150501",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"BAA_1A_BS",104,19.0402355589543,8.49357007664227,"Ransome_BAA01_BAA01A_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01A_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_1B_BS",83,29.6644390540031,21.0773159644635,"Ransome_BAA01_BAA01B_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01B_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_1C_BS",92,13.3048220950327,5.79522775753444,"Ransome_BAA01_BAA01C_120312_150530",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA01_BAA01C_120312_150530",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2A_BS",82,17.3384722683993,8.36221075100983,"Ransome_BAA02_BAA02A_120312_150526",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02A_120312_150526",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2B_BS",70,7.67625360686645,4.21594000218616,"Ransome_BAA02_BAA02B_120312_150531",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02B_120312_150531",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2B_MESSY",35,16.4714459179885,9.94780762023735,"Ransome_BAA02_BAA02B_120312_150531",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02B_120312_150531",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
"BAA_2C_BS",85,21.4298957843309,13.1120979422519,"Ransome_BAA02_BAA02C_120312_150531",0.167785235,120,120.2416854,12.75000453,1,"Ransome_BAA02_BAA02C_120312_150531",0.03848,0.14474,-1.73064,-0.01623,0.98378,1.05501,0.984604147,0.852894659,0.925487812,0.951479962,0,0.996501575,0.785161359
