"Type.of.feeding.interaction","Predator.lifestage","slope","intercept","r_squared","f_statistic","p_value"
"insectivorous","larva / juvenile",81.1591380069622,-3.45975627178893,0.621254577117463,49.2088780154159,8.51926669047017e-08
"piscivorous","adult",59.1262314720646,18859.8842209802,0.021536869262521,389.54918201242,8.67461555108944e-86
"piscivorous","juvenile",10.2848479190317,5510.17020640088,0.00959947808315518,29.339261757932,6.55097406740436e-08
"piscivorous","larva / juvenile",172.511898493461,9.86483143239672,0.232313578702393,2.72353678574574,0.133275952079355
"piscivorous","postlarva",0.582050921513236,0.0382407206914082,0.605743142370175,47.6289430356757,9.72722953165719e-08
"piscivorous","postlarva/juvenile",NA,NA,NA,NA,NA
"planktivorous","adult",152.795681507931,26967.7354654314,0.0148266421747683,2.34776566062414,0.12748816361192
"planktivorous","juvenile",6557.37704918046,2.25196721311474,1,NA,NA
"planktivorous","larva",-0.125540385475094,0.149952307811492,0.000229535758135438,0.234868991404557,0.628040559141267
"planktivorous","larva / juvenile",100348.136755092,0.412017531898669,0.0281834521378093,3.42209376818833,0.0668312825188673
"planktivorous","postlarva/juvenile",21012.870102476,0.153516129748767,0.0763315504427213,21.65156363799,5.19518130117455e-06
"predacious","adult",86.6733851893621,14022.5769795346,0.076096790112405,653.067813104219,1.7263770292629e-138
"predacious","juvenile",72.5276909974529,1477.0669778648,0.0702164807756492,158.590259538988,4.1285842295562e-35
"predacious","larva",16253.0221597406,0.107758676365578,0.321359300269679,572.975881760158,5.60208041878431e-104
"predacious","larva / juvenile",164.216226022138,1.51278179933139,0.126808753413814,70.4338776254893,5.25237217935043e-16
"predacious","postlarva",-0.00861452759101591,0.133502073567387,0.0105760559264123,0.748237314533598,0.389989666306616
"predacious","postlarva/juvenile",1.74618988244161,0.565541752418578,0.046276154857748,28.5306686992787,1.32011188235218e-07
"predacious/piscivorous","adult",11.949120671082,503.058942134918,0.194433583643607,38.3766492391315,4.79389028064085e-09
